,headline,source,date
69,i’m an e.r. doctor in new york. none of us will ever be the same.,The New York Times,2020-04-14T09:00:49+0000
70,i’m an e.r. doctor in new york. none of us will ever be the same.,The New York Times,2020-04-14T09:00:49+0000
71,someone has died. that’s when their job begins.,The New York Times,2020-04-16T19:28:08+0000
72,what are your favorite pandemic reads?,The New York Times,2020-04-17T21:10:48+0000
73,the way we ration ventilators is biased,The New York Times,2020-04-16T01:07:57+0000
74,will the coronavirus delay my cancer surgery?,The New York Times,2020-04-15T09:00:15+0000
75,how san francisco’s chinatown got ahead of the coronavirus,The New York Times,2020-04-17T13:09:58+0000
76,who is immune to the coronavirus?,The New York Times,2020-04-13T09:01:12+0000
77,what doctors on the front lines wish they’d known a month ago,The New York Times,2020-04-14T09:00:40+0000
78,"in pandemic, a remote russian region orders a lockdown — on information",The New York Times,2020-04-19T22:56:10+0000
79,"‘this is mayhem,’ cuomo says of federal response to coronavirus",Reuters,2020-04-17T15:11:40+0000
80,"‘this is mayhem,’ cuomo says of federal response to coronavirus",Reuters,2020-04-17T15:11:40+0000
81,the story of remdesivir,The New York Times,2020-04-18T00:18:29+0000
82,the huge cost of waiting to contain the pandemic,The New York Times,2020-04-14T09:00:56+0000
83,the impending mass grave across the border from texas,The New York Times,2020-04-12T19:00:13+0000
84,life and death in the ‘hot zone’,The New York Times,2020-04-11T14:57:51+0000
85,"‘we will all die one day,’ my president said",The New York Times,2020-04-14T19:00:07+0000
86,"‘we have to take this seriously,’ whitmer says of coronavirus plans",Reuters,2020-04-17T18:32:00+0000
87,who is likely to become unemployed?,The New York Times,2020-04-16T13:00:16+0000
88,bogus vaccines. fake testing sites. virus frauds are flourishing.,The New York Times,2020-04-17T13:00:07+0000
89,"sailor on roosevelt, whose captain pleaded for help, dies from coronavirus",The New York Times,2020-04-13T21:39:14+0000
90,"starve the beast, feed the depression",The New York Times,2020-04-16T21:30:07+0000
91,virginia nursing home had plenty of coronavirus patients but few tests,The New York Times,2020-04-16T01:30:20+0000
92,when older relatives shrug at coronavirus restrictions,The New York Times,2020-04-15T19:00:05+0000
93,a tale of two possible recoveries,The New York Times,2020-04-16T15:07:07+0000
94,republicans don’t want to save jobs,The New York Times,2020-04-13T22:15:07+0000
95,how an invisible foe slipped aboard a french navy ship,The New York Times,2020-04-19T14:30:12+0000
96,trump is asking us to play russian roulette with our lives,The New York Times,2020-04-18T20:43:50+0000
97,essence festival canceled in new orleans,The New York Times,2020-04-16T00:38:04+0000
98,supreme court asked to suspend wealth test for green cards in light of virus,The New York Times,2020-04-13T21:59:44+0000
99,my friends should let health care workers stay in their empty apartments. right?,The New York Times,2020-04-16T13:00:04+0000
100,texas protesters condemn stay-at-home orders,AP,2020-04-18T21:07:04+0000
101,24 hours inside a brooklyn hospital,The New York Times,2020-04-15T09:57:43+0000
102,zoom shivas and prayer hotlines: ultra-orthodox jewish traditions upended by coronavirus,The New York Times,2020-04-16T18:35:08+0000
103,50 million kids can’t attend school. what happens to them?,The New York Times,2020-04-16T09:00:17+0000
104,don’t mention the virus! and other marketing tips,The New York Times,2020-04-19T09:00:12+0000
105,coronavirus briefing: what happened today,The New York Times,2020-04-16T23:41:45+0000
106,"raymond copeland, sanitation worker who hit his stride, dies at 46",The New York Times,2020-04-17T15:01:02+0000
107,franklin graham says he is being harassed over central park hospital,The New York Times,2020-04-14T22:44:26+0000
108,trump foments protests against governors; experts warn of testing shortages,The New York Times,2020-04-17T09:02:42+0000
109,"fernando miteff, 60, graffiti artist with a generous spirit, dies",The New York Times,2020-04-17T15:48:25+0000
110,will there be more coronavirus stimulus checks?,The New York Times,2020-04-16T22:00:06+0000
111,how can it happen here? the shocking deaths in canada’s long-term care homes,The New York Times,2020-04-17T21:45:39+0000
112,"under fire, live nation outlines new ticket refund plan",The New York Times,2020-04-17T22:36:58+0000
113,spain’s lethal secret: we didn’t have ‘the best health care in the world’,The New York Times,2020-04-13T19:00:08+0000
114,trump halts w.h.o. funding amid coronavirus pandemic,AP,2020-04-15T00:12:38+0000
115,trump threatens to adjourn congress to install nominees. mcconnell demurs.,The New York Times,2020-04-16T01:00:52+0000
116,illinois seeks a bailout from congress for pensions and cities,The New York Times,2020-04-18T00:03:36+0000
117,‘you could lick the benches’: life for the first wave of u.s. survivors,The New York Times,2020-04-11T09:00:28+0000
118,testing falls woefully short as trump seeks an end to stay-at-home orders,The New York Times,2020-04-16T00:39:35+0000
119,bail someone out of jail today,The New York Times,2020-04-14T18:57:46+0000
120,bail someone out of jail today,The New York Times,2020-04-14T18:57:46+0000
121,"answering kids’ questions about the coronavirus, in free picture books",The New York Times,2020-04-14T17:48:17+0000
122,"the global coronavirus crisis is poised to get much, much worse",The New York Times,2020-04-13T23:27:44+0000
123,"albert k. webster, who built up the new york philharmonic, dies at 82",The New York Times,2020-04-14T20:24:42+0000
124,he beat coronavirus. now his blood may help save lives.,The New York Times,2020-04-11T09:00:18+0000
125,does gavin newsom have the grit to take on the coronavirus?,The New York Times,2020-04-19T15:00:07+0000
126,"urged on by conservatives and his own advisers, trump targeted the w.h.o.",The New York Times,2020-04-15T23:59:36+0000
127,are friendships breaking up over social distancing?,The New York Times,2020-04-17T14:05:02+0000
128,the coronavirus in america: the year ahead,The New York Times,2020-04-18T16:55:38+0000
129,coronavirus cases at d.c. whole foods highlight risks facing grocery workers,The New York Times,2020-04-15T21:21:15+0000
130,29 dead at one nursing home from the virus. or more. no one will say.,The New York Times,2020-04-16T23:09:04+0000
131,furloughs and pay cuts hit the los angeles times,The New York Times,2020-04-14T20:37:43+0000
132,i used to run the c.d.c. here’s what it can do to slow this pandemic.,The New York Times,2020-04-12T15:00:07+0000
133,treating coronavirus in a central park ‘hot zone’,The New York Times,2020-04-15T09:00:42+0000
134,how a premier u.s. drug company became a virus ‘super spreader’,The New York Times,2020-04-12T21:35:59+0000
135,concerns of a coup stir in sudan as capital braces for a virus lockdown,The New York Times,2020-04-17T21:26:27+0000
136,"how starfish, snails and salmon fight pandemics",The New York Times,2020-04-17T09:00:13+0000
137,"‘we’re not at the plateau anymore,’ cuomo says of the outbreak",AP,2020-04-18T15:21:04+0000
138,doping tests go virtual. is it temporary or a glimpse of the future?,The New York Times,2020-04-15T07:00:07+0000
139,it’s the end of the world economy as we know it,The New York Times,2020-04-16T07:08:41+0000
140,"photojournalists struggle through the pandemic, with masks and long lenses",The New York Times,2020-04-15T19:29:43+0000
141,did you get married during the coronavirus pandemic?,The New York Times,2020-04-16T13:30:43+0000
142,cuomo announces executive order on face coverings in public,Reuters,2020-04-15T14:55:10+0000
143,the news is making people anxious. you’ll never believe what they’re reading instead.,The New York Times,2020-04-14T15:59:11+0000
144,"coronavirus live updates: trump, facing criticism, says he will increase swab production",The New York Times,2020-04-19T09:00:25+0000
145,let’s play by our own rules in the pandemic,The New York Times,2020-04-18T19:00:09+0000
146,"israel sauz, gas-station worker and new father, dies at 22",The New York Times,2020-04-13T16:00:05+0000
147,dozens test positive for coronavirus at afghan president’s palace,The New York Times,2020-04-19T19:30:52+0000
148,"for black men, fear that masks will invite racial profiling",The New York Times,2020-04-14T15:52:25+0000
149,this weekend’s live-streaming events: lady gaga’s star-studded special and more,The New York Times,2020-04-17T09:00:18+0000
150,a beloved bar owner was skeptical about the virus. then he took a cruise.,The New York Times,2020-04-18T09:00:07+0000
151,‘what disease are we treating?’: why coronavirus is stumping many doctors,The New York Times,2020-04-14T09:00:38+0000
152,remembering tim brooke-taylor and ‘the goodies’,The New York Times,2020-04-17T04:01:53+0000
153,the ideas that won’t survive the coronavirus,The New York Times,2020-04-10T09:00:10+0000
154,where the very rich fly to hide,The New York Times,2020-04-15T15:00:07+0000
155,pharmaceutical profits and public health are not incompatible,The New York Times,2020-04-08T09:00:19+0000
156,"after anonymous tip, 17 bodies found at nursing home hit by virus",The New York Times,2020-04-16T00:23:05+0000
157,why trump’s threat to adjourn congress is dubious,The New York Times,2020-04-16T19:51:13+0000
158,"‘the worst is over,’ cuomo says cautiously of coronavirus spread",Reuters,2020-04-13T15:15:48+0000
159,m.l.b. employees become the subjects of a huge coronavirus study,The New York Times,2020-04-15T04:57:18+0000
160,germany starts broad antibody testing to assess spread of coronavirus; israel relaxes restrictions,The New York Times,2020-04-18T04:01:31+0000
161,the dangerous history of immunoprivilege,The New York Times,2020-04-12T19:00:10+0000
162,u.s. food supply chain is strained as virus spreads,The New York Times,2020-04-13T22:57:31+0000
163,you’ll never guess the secret ingredient in this one-bowl cake,The New York Times,2020-04-17T17:20:10+0000
164,"n.y. got $12,000 per virus case, by one count. nebraska got $379,000.",The New York Times,2020-04-14T19:17:14+0000
165,the heartbreaking last texts of a hospital worker on the front lines,The New York Times,2020-04-15T09:00:20+0000
166,"antibody test, seen as key to reopening country, does not yet deliver",The New York Times,2020-04-19T16:18:59+0000
167,who gets a ventilator?,The New York Times,2020-04-14T18:55:03+0000
168,"c.d.c. labs were contaminated, delaying coronavirus testing, officials say",The New York Times,2020-04-18T21:58:17+0000
169,‘that is not an accurate statement’: cuomo pushes back against trump,Reuters,2020-04-14T15:10:40+0000
170,‘that is not an accurate statement’: cuomo pushes back against trump,Reuters,2020-04-14T15:10:40+0000
171,"missing boston, and a bus ride, on marathon day",The New York Times,2020-04-19T16:47:23+0000
172,"disposable n95 masks can be decontaminated, researchers confirm",The New York Times,2020-04-16T16:44:08+0000
173,the brother killer,The New York Times,2020-04-12T23:49:05+0000
174,"‘we can’t get ahead of ourselves,’ newsom says of easing coronavirus measures",Reuters,2020-04-14T18:30:58+0000
175,faces that can’t be forgotten,The New York Times,2020-04-16T22:48:01+0000
176,"he went to 3 hospitals. when he finally got a bed, it was too late.",The New York Times,2020-04-19T18:31:11+0000
177,macron extends strict stay-at-home orders,AP,2020-04-13T22:39:21+0000
178,the rise of the coronavirus nature genre,The New York Times,2020-04-17T14:00:07+0000
179,my isolation breaking point,The New York Times,2020-04-15T09:00:24+0000
180,trump calls this drug a ‘game changer.’ doctors aren’t so sure.,The New York Times,2020-04-17T17:05:34+0000
181,coronavirus kills 758 in new york but data suggest spread is slowing,The New York Times,2020-04-12T12:42:13+0000
182,"separated from their families, parents quarantine apart",The New York Times,2020-04-15T17:22:47+0000
183,‘which death is going to be worse?’ coronavirus invades a conflict zone,The New York Times,2020-04-13T18:53:02+0000
184,dallas homeless shelter evacuated after 38 contract coronavirus,The New York Times,2020-04-18T00:29:24+0000
185,"‘we regret the decision,’ w.h.o. says of trump’s funding halt",Reuters,2020-04-15T16:55:15+0000
186,behind the cover: italy hospitals,The New York Times,2020-04-09T14:31:56+0000
187,where do you go for a walk?,The New York Times,2020-04-16T22:13:27+0000
188,health care funds held their own. but they may not be bargains.,The New York Times,2020-04-17T10:00:11+0000
189,america can afford a world-class health system. why don’t we have one?,The New York Times,2020-04-14T09:00:35+0000
190,"in n.y.c., the coronavirus is killing men at twice the rate of women",The New York Times,2020-04-07T22:29:14+0000
191,"show us a time before the pandemic, when life felt normal",The New York Times,2020-04-10T20:56:51+0000
192,coronavirus briefing: what happened today,The New York Times,2020-04-17T22:52:54+0000
193,w.h.o. failed to tell syrian kurds of their first coronavirus death: live coverage,The New York Times,2020-04-17T04:01:32+0000
194,"you can’t go anywhere, but ads still promise retreats",The New York Times,2020-04-16T09:00:19+0000
195,masks of the upper west side,The New York Times,2020-04-15T01:19:42+0000
196,justice dept. voices support for church’s drive-in services despite virus orders,The New York Times,2020-04-14T22:32:35+0000
